core_id,core_size,recurrence_denominator,all_members_accepted_run_count,all_members_accepted_run_fraction,same_set_run_count,same_set_run_fraction,conditional_same_set_fraction,all_members_accepted_fraction_by_k,same_set_fraction_by_k,conditional_same_set_fraction_by_k,mean_all_members_accepted_fraction_across_k,mean_same_set_fraction_across_k,mean_conditional_same_set_fraction_across_k,k_coverage_any,k_coverage_majority,recovered_runs_by_k,mean_within_joint_coassignment,min_within_joint_coassignment,mean_within_conditional_coassignment,min_within_conditional_coassignment,mean_within_coacceptance,min_within_coacceptance,mean_outside_conditional_coassignment,max_outside_conditional_coassignment,mean_outside_joint_coassignment,max_outside_joint_coassignment,mean_acceptance_frequency_across_k,min_acceptance_frequency_across_k,member_ids
CORE01,17,primary_eligible_runs,19,0.9047619047619048,14,0.6666666666666666,0.7368421052631579,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 0.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 0.0, ""8"": 0.0}",0.9047619047619049,0.6666666666666667,0.7142857142857143,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 2}",0.802170868347339,0.6666666666666667,0.8697174922600619,0.7368421052631579,0.9205182072829132,0.9047619047619049,0.22884003104445755,0.894736842105263,0.20308123249299723,0.8095238095238095,0.9327731092436975,0.9047619047619049,"[""TCGA-B0-5696"", ""TCGA-B0-5706"", ""TCGA-B0-5709"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-5158"", ""TCGA-B8-5551"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54G"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4923"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
CORE02,13,primary_eligible_runs,18,0.8571428571428571,15,0.7142857142857143,0.8333333333333334,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": null, ""7"": 1.0, ""8"": 0.0}",0.8571428571428571,0.7142857142857143,0.8333333333333334,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""7"": 3}",0.9157509157509156,0.7142857142857143,0.9767094017094013,0.8333333333333334,0.9377289377289373,0.8571428571428571,0.16696455505279037,0.85,0.14749694749694747,0.8095238095238095,0.9450549450549451,0.8571428571428571,"[""TCGA-B0-5085"", ""TCGA-B0-5812"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-5006"", ""TCGA-BP-5180"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199""]"
CORE03,10,primary_eligible_runs,19,0.9047619047619048,16,0.7619047619047619,0.8421052631578947,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",0.9047619047619049,0.7619047619047619,0.8571428571428571,6,6,"{""2"": 3, ""3"": 3, ""4"": 3, ""6"": 2, ""7"": 3, ""8"": 2}",0.8761904761904761,0.7619047619047619,0.9684210526315792,0.8421052631578946,0.904761904761905,0.9047619047619049,0.27032621480963637,0.894736842105263,0.23809523809523808,0.8095238095238095,0.9047619047619049,0.9047619047619049,"[""TCGA-B0-4821"", ""TCGA-B8-5550"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-5010"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6033""]"
CORE04,8,primary_eligible_runs,18,0.8571428571428571,18,0.8571428571428571,1.0,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 0.3333333333333333}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 0.3333333333333333}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",0.8571428571428571,0.8571428571428571,1.0,7,6,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 3, ""8"": 1}",0.8571428571428571,0.8571428571428571,1.0,1.0,0.8571428571428571,0.8571428571428571,0.16061661506707944,0.8333333333333333,0.1338345864661654,0.7142857142857142,0.8571428571428571,0.8571428571428571,"[""TCGA-B8-4619"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-BP-4992"", ""TCGA-BP-4994"", ""TCGA-CZ-4863"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
CORE05,7,primary_eligible_runs,17,0.8095238095238095,15,0.7142857142857143,0.8823529411764706,"{""2"": 1.0, ""3"": 1.0, ""4"": 0.6666666666666666, ""5"": 1.0, ""6"": 0.3333333333333333, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 0.3333333333333333, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",0.8095238095238095,0.7142857142857144,0.8571428571428571,6,5,"{""2"": 3, ""3"": 3, ""5"": 3, ""6"": 1, ""7"": 3, ""8"": 2}",0.7823129251700683,0.7142857142857144,0.9663865546218489,0.8823529411764708,0.8095238095238096,0.8095238095238095,0.2093965190242764,0.823529411764706,0.16829648526077096,0.6666666666666667,0.8163265306122449,0.8095238095238095,"[""TCGA-B0-5702"", ""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-A54F"", ""TCGA-BP-4967"", ""TCGA-CZ-4865"", ""TCGA-CZ-5984""]"
CORE06,6,primary_eligible_runs,20,0.9523809523809523,17,0.8095238095238095,0.85,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",0.9523809523809524,0.8095238095238094,0.8571428571428571,6,6,"{""2"": 3, ""3"": 3, ""5"": 3, ""6"": 2, ""7"": 3, ""8"": 3}",0.8761904761904763,0.8095238095238094,0.9199999999999999,0.8499999999999999,0.9523809523809524,0.9523809523809524,0.28382986853630937,0.8499999999999999,0.2567501227295041,0.8095238095238094,0.9523809523809524,0.9523809523809524,"[""TCGA-B0-5697"", ""TCGA-B0-5703"", ""TCGA-BP-4167"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-5191""]"
CORE07,5,primary_eligible_runs,20,0.9523809523809523,18,0.8571428571428571,0.9,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}",0.9523809523809524,0.8571428571428571,0.8571428571428571,6,6,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""7"": 3, ""8"": 3}",0.9142857142857144,0.8571428571428571,0.96,0.8999999999999999,0.9523809523809523,0.9523809523809524,0.22387337391096787,0.8499999999999999,0.20058309037900873,0.8095238095238094,0.9523809523809523,0.9523809523809524,"[""TCGA-B0-5117"", ""TCGA-B8-A54E"", ""TCGA-BP-4965"", ""TCGA-BP-5004"", ""TCGA-BP-5175""]"
CORE08,5,primary_eligible_runs,18,0.8571428571428571,15,0.7142857142857143,0.8333333333333334,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": null, ""7"": 1.0, ""8"": 0.0}",0.8571428571428571,0.7142857142857143,0.8333333333333334,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""7"": 3}",0.7714285714285715,0.7142857142857143,0.9000000000000001,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.20443427370948375,0.8333333333333334,0.1717201166180758,0.7142857142857143,0.8571428571428571,0.8571428571428571,"[""TCGA-B8-4622"", ""TCGA-BP-4995"", ""TCGA-BP-5001"", ""TCGA-BP-5009"", ""TCGA-BP-5181""]"
CORE09,5,primary_eligible_runs,17,0.8095238095238095,17,0.8095238095238095,1.0,"{""2"": 1.0, ""3"": 1.0, ""4"": 0.6666666666666666, ""5"": 1.0, ""6"": 0.3333333333333333, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.6666666666666666, ""5"": 1.0, ""6"": 0.3333333333333333, ""7"": 1.0, ""8"": 0.6666666666666666}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",0.8095238095238095,0.8095238095238095,1.0,7,6,"{""2"": 3, ""3"": 3, ""4"": 2, ""5"": 3, ""6"": 1, ""7"": 3, ""8"": 2}",0.8095238095238095,0.8095238095238095,1.0,1.0,0.8095238095238095,0.8095238095238095,0.19766656662665066,0.823529411764706,0.15792031098153547,0.6666666666666667,0.8095238095238095,0.8095238095238095,"[""TCGA-B8-5165"", ""TCGA-BP-4970"", ""TCGA-BP-4986"", ""TCGA-BP-5174"", ""TCGA-BP-5192""]"
CORE10,5,primary_eligible_runs,20,0.9523809523809523,14,0.6666666666666666,0.7,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 0.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.6666666666666666, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 0.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}",0.9523809523809524,0.6666666666666666,0.7142857142857143,5,5,"{""2"": 3, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 3}",0.7809523809523811,0.6666666666666666,0.8200000000000001,0.7,0.9523809523809523,0.9523809523809524,0.2311986022479167,0.85,0.21049562682215742,0.8095238095238095,0.9523809523809523,0.9523809523809524,"[""TCGA-BP-4988"", ""TCGA-BP-4999"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-CZ-5451""]"
