run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,5,136483
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,5,198768
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,5,277416
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,5,365027
run1_K6,6,1,True,complete,review_complete,unavailable,2,6,103,5,472125
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,5,566544
run1_K8,8,1,True,complete,review_complete,unavailable,2,8,103,5,1333436
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,4,128877
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,4,194708
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,273233
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,4,358224
run2_K6,6,2,True,complete,review_complete,unavailable,2,6,103,4,456491
run2_K7,7,2,True,complete,review_complete,unavailable,2,7,103,4,564574
run2_K8,8,2,True,complete,review_complete,unavailable,2,8,103,4,679488
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,4,128460
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,5,199872
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,271810
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,4,358319
run3_K6,6,3,True,complete,review_complete,unavailable,2,6,103,4,456175
run3_K7,7,3,True,complete,review_complete,unavailable,2,7,103,4,561623
run3_K8,8,3,True,complete,review_complete,unavailable,2,8,103,4,678315
