run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,4,112099
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,4,172867
run1_K4,4,1,True,complete,review_complete,unavailable,2,3,87,4,245264
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,4,323344
run1_K6,6,1,True,complete,review_complete,unavailable,2,6,103,5,414092
run1_K7,7,1,True,complete,review_complete,unavailable,2,4,60,4,512028
run1_K8,8,1,True,complete,review_complete,unavailable,2,4,70,4,622654
run2_K2,2,2,True,complete,review_complete,unavailable,3,2,103,7,224405
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,4,174529
run2_K4,4,2,True,complete,review_complete,unavailable,2,3,87,4,243071
run2_K5,5,2,True,complete,review_complete,unavailable,2,2,55,4,323312
run2_K6,6,2,True,complete,review_complete,unavailable,2,3,68,4,412997
run2_K7,7,2,True,complete,review_complete,unavailable,2,4,60,5,518824
run2_K8,8,2,True,complete,review_complete,unavailable,2,4,70,4,628631
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,4,112947
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,4,173726
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,242216
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,5,339246
run3_K6,6,3,True,complete,review_complete,unavailable,2,4,81,5,415371
run3_K7,7,3,True,complete,review_complete,unavailable,2,4,60,4,513557
run3_K8,8,3,True,complete,review_complete,unavailable,2,5,76,5,652955
