run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,4,105812
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,4,163833
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,4,233694
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,7,617439
run1_K6,6,1,True,complete,review_complete,unavailable,2,5,84,4,394229
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,5,494869
run1_K8,8,1,True,complete,review_complete,unavailable,2,7,100,4,593338
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,4,105611
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,4,162879
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,231827
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,6,326473
run2_K6,6,2,True,complete,review_complete,unavailable,2,6,103,4,394033
run2_K7,7,2,True,complete,review_complete,unavailable,2,7,103,5,495828
run2_K8,8,2,True,complete,review_complete,unavailable,2,7,100,4,593898
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,4,105897
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,4,164593
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,230041
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,5,312076
run3_K6,6,3,True,complete,review_complete,unavailable,2,5,84,4,394854
run3_K7,7,3,True,complete,review_complete,unavailable,2,7,103,5,494661
run3_K8,8,3,True,complete,review_complete,unavailable,2,7,100,4,592834
