core_id,core_size,recurrence_denominator,all_members_accepted_run_count,all_members_accepted_run_fraction,same_set_run_count,same_set_run_fraction,conditional_same_set_fraction,all_members_accepted_fraction_by_k,same_set_fraction_by_k,conditional_same_set_fraction_by_k,mean_all_members_accepted_fraction_across_k,mean_same_set_fraction_across_k,mean_conditional_same_set_fraction_across_k,k_coverage_any,k_coverage_majority,recovered_runs_by_k,mean_within_joint_coassignment,min_within_joint_coassignment,mean_within_conditional_coassignment,min_within_conditional_coassignment,mean_within_coacceptance,min_within_coacceptance,mean_outside_conditional_coassignment,max_outside_conditional_coassignment,mean_outside_joint_coassignment,max_outside_joint_coassignment,mean_acceptance_frequency_across_k,min_acceptance_frequency_across_k,member_ids
CORE01,16,primary_eligible_runs,16,0.7619047619047619,16,0.7619047619047619,1.0,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.3333333333333333, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.3333333333333333, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": null}",0.7619047619047619,0.7619047619047619,1.0,6,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 1, ""7"": 3}",0.8702380952380954,0.7619047619047619,1.0,1.0,0.8702380952380954,0.7619047619047619,0.1517127949183303,0.8124999999999999,0.13321018062397372,0.7142857142857143,0.8869047619047619,0.7619047619047619,"[""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4995"", ""TCGA-BP-5006"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904""]"
CORE02,12,primary_eligible_runs,21,1.0,18,0.8571428571428571,0.8571428571428571,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}",1.0,0.8571428571428571,0.8571428571428571,6,6,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""7"": 3, ""8"": 3}",0.9567099567099566,0.8571428571428571,0.9567099567099566,0.8571428571428571,1.0,1.0,0.18733647305075876,0.8571428571428571,0.18733647305075876,0.8571428571428571,1.0,1.0,"[""TCGA-B0-5088"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-B8-A54D"", ""TCGA-B8-A54G"", ""TCGA-BP-4962"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-6030"", ""TCGA-CZ-5462"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
CORE03,12,primary_eligible_runs,21,1.0,18,0.8571428571428571,0.8571428571428571,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",1.0,0.8571428571428571,0.8571428571428571,6,6,"{""3"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 3}",0.9415584415584414,0.8571428571428571,0.9415584415584414,0.8571428571428571,1.0,1.0,0.1154349644716186,0.7142857142857143,0.1118524332810047,0.7142857142857143,1.0,1.0,"[""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-B8-A54F"", ""TCGA-BP-4972"", ""TCGA-BP-4992"", ""TCGA-BP-4994"", ""TCGA-BP-5007"", ""TCGA-CZ-4863"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
CORE04,11,primary_eligible_runs,21,1.0,18,0.8571428571428571,0.8571428571428571,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 0.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 0.0, ""8"": 1.0}",1.0,0.8571428571428571,0.8571428571428571,6,6,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""8"": 3}",0.974025974025974,0.8571428571428571,0.974025974025974,0.8571428571428571,1.0,1.0,0.20496894409937888,0.8571428571428571,0.20496894409937888,0.8571428571428571,1.0,1.0,"[""TCGA-B0-4712"", ""TCGA-B0-4821"", ""TCGA-B0-5081"", ""TCGA-B0-5702"", ""TCGA-BP-4770"", ""TCGA-BP-4960"", ""TCGA-BP-4971"", ""TCGA-BP-5010"", ""TCGA-CJ-4923"", ""TCGA-CJ-6033"", ""TCGA-G6-A8L7""]"
CORE05,8,primary_eligible_runs,21,1.0,15,0.7142857142857143,0.7142857142857143,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 0.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 0.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}",1.0,0.7142857142857143,0.7142857142857143,5,5,"{""2"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 3}",0.8826530612244898,0.7142857142857143,0.8826530612244898,0.7142857142857143,1.0,1.0,0.1719924812030075,0.8571428571428571,0.1719924812030075,0.8571428571428571,1.0,1.0,"[""TCGA-B0-5106"", ""TCGA-B8-4148"", ""TCGA-B8-5162"", ""TCGA-B8-5549"", ""TCGA-BP-4967"", ""TCGA-BP-5196"", ""TCGA-CJ-4902"", ""TCGA-CZ-5984""]"
CORE06,7,primary_eligible_runs,21,1.0,15,0.7142857142857143,0.7142857142857143,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 0.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 0.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",1.0,0.7142857142857143,0.7142857142857143,5,5,"{""2"": 3, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 3}",0.8911564625850341,0.7142857142857143,0.8911564625850341,0.7142857142857143,1.0,1.0,0.17826653687790905,0.8571428571428571,0.17155612244897958,0.8571428571428571,1.0,1.0,"[""TCGA-B8-5159"", ""TCGA-B8-5165"", ""TCGA-BP-4970"", ""TCGA-BP-4977"", ""TCGA-BP-4986"", ""TCGA-BP-5174"", ""TCGA-BP-5192""]"
CORE07,5,primary_eligible_runs,21,1.0,15,0.7142857142857143,0.7142857142857143,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}",1.0,0.7142857142857143,0.7142857142857143,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""6"": 3, ""7"": 3}",0.8285714285714285,0.7142857142857143,0.8285714285714285,0.7142857142857143,1.0,1.0,0.24969502838729474,0.8571428571428571,0.23498542274052475,0.8571428571428571,1.0,1.0,"[""TCGA-B0-5085"", ""TCGA-B8-4622"", ""TCGA-BP-5001"", ""TCGA-BP-5200"", ""TCGA-CZ-5451""]"
CORE08,5,primary_eligible_runs,21,1.0,15,0.7142857142857143,0.7142857142857143,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.0, ""6"": 0.0, ""7"": 1.0, ""8"": 1.0}",1.0,0.7142857142857143,0.7142857142857143,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""7"": 3, ""8"": 3}",0.7714285714285714,0.7142857142857143,0.7714285714285714,0.7142857142857143,1.0,1.0,0.20682350007672237,0.7142857142857143,0.20553935860058306,0.7142857142857143,1.0,1.0,"[""TCGA-B0-5117"", ""TCGA-B0-5697"", ""TCGA-B8-5553"", ""TCGA-B8-A54E"", ""TCGA-BP-4782""]"
CORE09,5,primary_eligible_runs,21,1.0,18,0.8571428571428571,0.8571428571428571,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}",1.0,0.8571428571428571,0.8571428571428571,6,6,"{""2"": 3, ""3"": 3, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 3}",0.9428571428571428,0.8571428571428571,0.9428571428571428,0.8571428571428571,1.0,1.0,0.23422395273899033,0.8571428571428571,0.22361516034985418,0.8571428571428571,1.0,1.0,"[""TCGA-B0-5696"", ""TCGA-B0-5698"", ""TCGA-B8-4151"", ""TCGA-BP-4164"", ""TCGA-CZ-4859""]"
CORE10,5,primary_eligible_runs,21,1.0,15,0.7142857142857143,0.7142857142857143,"{""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 1.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 0.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.0}",1.0,0.7142857142857143,0.7142857142857143,5,5,"{""2"": 3, ""3"": 3, ""5"": 3, ""6"": 3, ""7"": 3}",0.8285714285714286,0.7142857142857143,0.8285714285714286,0.7142857142857143,1.0,1.0,0.2521961792235691,0.7142857142857143,0.2507288629737609,0.7142857142857143,1.0,1.0,"[""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-5158"", ""TCGA-BP-5000"", ""TCGA-CJ-4903""]"
