matrix,linkage,core_id,hierarchical_cluster,state_id
joint_coassignment,average,CORE01,1,STATE_A
joint_coassignment,average,CORE02,2,STATE_B
joint_coassignment,average,CORE03,4,STATE_D
joint_coassignment,average,CORE04,2,STATE_B
joint_coassignment,average,CORE05,3,STATE_C
joint_coassignment,average,CORE06,3,STATE_C
joint_coassignment,average,CORE07,1,STATE_A
joint_coassignment,average,CORE08,4,STATE_D
joint_coassignment,average,CORE09,1,STATE_A
joint_coassignment,average,CORE10,2,STATE_B
joint_coassignment,complete,CORE01,2,STATE_A
joint_coassignment,complete,CORE02,1,STATE_B
joint_coassignment,complete,CORE03,4,STATE_D
joint_coassignment,complete,CORE04,1,STATE_B
joint_coassignment,complete,CORE05,3,STATE_C
joint_coassignment,complete,CORE06,3,STATE_C
joint_coassignment,complete,CORE07,2,STATE_A
joint_coassignment,complete,CORE08,4,STATE_D
joint_coassignment,complete,CORE09,2,STATE_A
joint_coassignment,complete,CORE10,1,STATE_B
fused,average,CORE01,1,STATE_A
fused,average,CORE02,2,STATE_B
fused,average,CORE03,4,STATE_D
fused,average,CORE04,2,STATE_B
fused,average,CORE05,3,STATE_C
fused,average,CORE06,3,STATE_C
fused,average,CORE07,1,STATE_A
fused,average,CORE08,4,STATE_D
fused,average,CORE09,1,STATE_A
fused,average,CORE10,1,STATE_B
fused,complete,CORE01,4,STATE_A
fused,complete,CORE02,3,STATE_B
fused,complete,CORE03,2,STATE_D
fused,complete,CORE04,3,STATE_B
fused,complete,CORE05,1,STATE_C
fused,complete,CORE06,1,STATE_C
fused,complete,CORE07,4,STATE_A
fused,complete,CORE08,2,STATE_D
fused,complete,CORE09,4,STATE_A
fused,complete,CORE10,4,STATE_B
