macro_k,linkage,actual_cluster_count,silhouette,mean_within_similarity,mean_between_similarity,within_minus_between,state_sizes_in_core_nodes,reference_ari,ari_vs_joint_assignment,coassignment_type
2,average,2,0.19972764664662263,0.29646947939576823,0.11623897776689424,0.180230501628874,"[4, 6]",,1.0,conditional_on_joint_assignment
2,complete,1,,0.2003465451937021,,,[10],,1.0,conditional_on_joint_assignment
3,average,3,0.3103368382871254,0.333814038773404,0.11931270980602596,0.21450132896737803,"[2, 2, 6]",,1.0,conditional_on_joint_assignment
3,complete,3,0.29852915102796307,0.4139112662608903,0.12268664662381551,0.2912246196370748,"[3, 3, 4]",,1.0,conditional_on_joint_assignment
4,average,4,0.4358709917438596,0.5519893483709273,0.12431566883105885,0.42767367953986846,"[2, 2, 3, 3]",,1.0,conditional_on_joint_assignment
4,complete,4,0.4358709917438596,0.5519893483709273,0.12431566883105885,0.42767367953986846,"[2, 2, 3, 3]",,1.0,conditional_on_joint_assignment
5,average,5,0.36555413890805344,0.5726817042606516,0.13175848957610617,0.44092321468454543,"[1, 1, 2, 3, 3]",,1.0,conditional_on_joint_assignment
5,complete,5,0.36555413890805344,0.5726817042606516,0.13175848957610617,0.44092321468454543,"[1, 1, 2, 3, 3]",,0.7305389221556886,conditional_on_joint_assignment
6,average,6,0.301803453526564,0.6255639097744361,0.1471943746211104,0.4783695351533257,"[1, 1, 1, 2, 2, 3]",,1.0,conditional_on_joint_assignment
6,complete,6,0.301803453526564,0.6255639097744361,0.1471943746211104,0.4783695351533257,"[1, 1, 1, 2, 2, 3]",,0.55,conditional_on_joint_assignment
