core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
STATE_A,STATE_B,chr1p,-0.1510989,0.34542723,0.62688645,higher_in_core_a
STATE_A,STATE_B,chr1q,-0.32692308,0.04022268,0.15160856,lower_in_core_a
STATE_A,STATE_B,chr2p,-0.28846154,0.07043721,0.24653024,lower_in_core_a
STATE_A,STATE_B,chr2q,-0.06868132,0.6714634,0.88923531,higher_in_core_a
STATE_A,STATE_B,chr3p,-0.62362637,8.813e-05,0.00086367,lower_in_core_a
STATE_A,STATE_B,chr3q,-0.34065934,0.03251561,0.15160856,lower_in_core_a
STATE_A,STATE_B,chr4p,0.01923077,0.91040552,0.94914618,higher_in_core_a
STATE_A,STATE_B,chr4q,-0.04395604,0.78844244,0.9023376,higher_in_core_a
STATE_A,STATE_B,chr5p,-0.08791209,0.58553111,0.870434,lower_in_core_a
STATE_A,STATE_B,chr5q,0.13461538,0.40111871,0.70195774,higher_in_core_a
STATE_A,STATE_B,chr6p,-0.11538462,0.47246795,0.77169765,higher_in_core_a
STATE_A,STATE_B,chr6q,0.04395604,0.78844244,0.9023376,higher_in_core_a
STATE_A,STATE_B,chr7p,-0.20604396,0.19714333,0.43909196,lower_in_core_a
STATE_A,STATE_B,chr7q,-0.18406593,0.24963421,0.50336001,lower_in_core_a
STATE_A,STATE_B,chr8p,0.0989011,0.53883818,0.85171196,higher_in_core_a
STATE_A,STATE_B,chr8q,-0.38736264,0.01500263,0.08565777,lower_in_core_a
STATE_A,STATE_B,chr9p,0.03846154,0.8152101,0.9023376,higher_in_core_a
STATE_A,STATE_B,chr9q,0.02197802,0.89669388,0.94914618,lower_in_core_a
STATE_A,STATE_B,chr10p,-0.32967033,0.03856799,0.15160856,lower_in_core_a
STATE_A,STATE_B,chr10q,-0.06043956,0.70974032,0.9023376,lower_in_core_a
STATE_A,STATE_B,chr11p,-0.17582418,0.27163603,0.51192944,lower_in_core_a
STATE_A,STATE_B,chr11q,-0.08241758,0.60956135,0.870434,higher_in_core_a
STATE_A,STATE_B,chr12p,-0.33653846,0.03467903,0.15160856,lower_in_core_a
STATE_A,STATE_B,chr12q,-0.26236264,0.10004046,0.2935556,lower_in_core_a
STATE_A,STATE_B,chr13p,0.0,,,
STATE_A,STATE_B,chr13q,0.05769231,0.72266974,0.9023376,higher_in_core_a
STATE_A,STATE_B,chr14p,0.0,,,
STATE_A,STATE_B,chr14q,0.4010989,0.01177305,0.08565777,higher_in_core_a
STATE_A,STATE_B,chr15p,0.0,,,
STATE_A,STATE_B,chr15q,-0.26098901,0.10184582,0.2935556,lower_in_core_a
STATE_A,STATE_B,chr16p,-0.22802198,0.15322625,0.4171159,higher_in_core_a
STATE_A,STATE_B,chr16q,-0.26923077,0.09142931,0.2935556,higher_in_core_a
STATE_A,STATE_B,chr17p,-0.11813187,0.461872,0.77169765,higher_in_core_a
STATE_A,STATE_B,chr17q,-0.18681319,0.24258492,0.50336001,lower_in_core_a
STATE_A,STATE_B,chr18p,0.04120879,0.80178979,0.9023376,higher_in_core_a
STATE_A,STATE_B,chr18q,0.00961538,0.95857925,0.95857925,lower_in_core_a
STATE_A,STATE_B,chr19p,-0.07142857,0.6588856,0.88923531,higher_in_core_a
STATE_A,STATE_B,chr19q,-0.3956044,0.0129807,0.08565777,lower_in_core_a
