excluded_initial_k,coassignment_type,selected_macro_k,silhouette,linkage_agreement,min_core_nodes
2,joint,,,False,
2,conditional,4.0,0.4365021009644792,True,2.0
3,joint,4.0,0.3562930413181137,True,2.0
3,conditional,4.0,0.3649291341063412,True,2.0
4,joint,,,False,
4,conditional,,,False,
5,joint,4.0,0.44238251947409213,True,2.0
5,conditional,4.0,0.4588203172146888,True,2.0
6,joint,4.0,0.45005392568599734,True,2.0
6,conditional,4.0,0.4528129743798984,True,2.0
7,joint,4.0,0.4643487869031211,True,2.0
7,conditional,4.0,0.4831919639770089,True,2.0
8,joint,4.0,0.45391765540376283,True,2.0
8,conditional,4.0,0.46797502447381534,True,2.0
