macro_k,linkage,actual_cluster_count,silhouette,mean_within_similarity,mean_between_similarity,within_minus_between,state_sizes_in_core_nodes,reference_ari
2,average,2,0.1954876759842288,0.2900259151279559,0.11431496083281796,0.17571095429513794,"[4, 6]",
2,complete,1,,0.19631340617054902,,,[10],
3,average,3,0.3059997223478125,0.32585434173669464,0.11766355243396061,0.20819078930273405,"[2, 2, 6]",
3,complete,3,0.2863124662372761,0.4032596371882086,0.12106023125503644,0.28219940593317216,"[3, 3, 4]",
4,average,4,0.4224890161043636,0.5360119047619047,0.12286508215079642,0.41314682261110836,"[2, 2, 3, 3]",
4,complete,4,0.4224890161043636,0.5360119047619047,0.12286508215079642,0.41314682261110836,"[2, 2, 3, 3]",
5,average,5,0.3521721632685573,0.5544217687074829,0.13034607622953484,0.4240756924779481,"[1, 1, 2, 3, 3]",
5,complete,5,0.3632807515250956,0.5498015873015872,0.1419306090734662,0.407870978228121,"[1, 2, 2, 2, 3]",
6,average,6,0.2869991901238971,0.5999999999999999,0.14585258194186762,0.45414741805813225,"[1, 1, 1, 2, 2, 3]",
6,complete,6,0.2929638986892893,0.5783333333333333,0.14856091527520096,0.42977241805813227,"[1, 1, 1, 2, 2, 3]",
