feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,4,86,26;28;17;15,estimable,,12.29456929,0.00643929,0.02640118,0.11334841
original_shape_Flatness,4,86,26;28;17;15,estimable,,8.69502729,0.03363288,0.08334464,0.06945155
original_shape_LeastAxisLength,4,86,26;28;17;15,estimable,,22.07786634,6.284e-05,0.00296731,0.23265691
original_shape_MajorAxisLength,4,86,26;28;17;15,estimable,,15.01450813,0.00180429,0.01250522,0.14651839
original_shape_Maximum2DDiameterColumn,4,86,26;28;17;15,estimable,,10.20768944,0.01688075,0.05019802,0.08789865
original_shape_Maximum2DDiameterRow,4,86,26;28;17;15,estimable,,16.27343769,0.0009966,0.00859663,0.16187119
original_shape_Maximum2DDiameterSlice,4,86,26;28;17;15,estimable,,12.97785807,0.00468473,0.02176352,0.1216812
original_shape_Maximum3DDiameter,4,86,26;28;17;15,estimable,,9.77267971,0.02060064,0.05747833,0.08259366
original_shape_MeshVolume,4,86,26;28;17;15,estimable,,20.51161655,0.00013295,0.00296731,0.2135563
original_shape_MinorAxisLength,4,86,26;28;17;15,estimable,,18.24458248,0.0003916,0.00480987,0.18590954
original_shape_Sphericity,4,86,26;28;17;15,estimable,,12.84477304,0.00498461,0.02235162,0.12005821
original_shape_SurfaceArea,4,86,26;28;17;15,estimable,,20.72125741,0.00012028,0.00296731,0.2161129
original_shape_SurfaceVolumeRatio,4,86,26;28;17;15,estimable,,18.8064015,0.00029979,0.00376403,0.19276099
original_shape_VoxelVolume,4,86,26;28;17;15,estimable,,20.51161655,0.00013295,0.00296731,0.2135563
original_firstorder_10Percentile,4,86,26;28;17;15,estimable,,5.23535377,0.15535262,0.2479498,0.02726041
original_firstorder_90Percentile,4,86,26;28;17;15,estimable,,12.79734655,0.005096,0.02258227,0.11947984
original_firstorder_Energy,4,86,26;28;17;15,estimable,,18.84132913,0.00029485,0.0037582,0.19318694
original_firstorder_Entropy,4,86,26;28;17;15,estimable,,9.74267208,0.02088506,0.05812837,0.08222771
original_firstorder_InterquartileRange,4,86,26;28;17;15,estimable,,9.33551456,0.02514715,0.06685648,0.07726237
original_firstorder_Kurtosis,4,86,26;28;17;15,estimable,,4.1075045,0.25008714,0.3484568,0.01350615
original_firstorder_Maximum,4,86,26;28;17;15,estimable,,3.86299343,0.27664347,0.37691519,0.01052431
original_firstorder_MeanAbsoluteDeviation,4,86,26;28;17;15,estimable,,10.76077345,0.01309236,0.04149035,0.09464358
original_firstorder_Mean,4,86,26;28;17;15,estimable,,10.09754512,0.01775491,0.05194587,0.08655543
original_firstorder_Median,4,86,26;28;17;15,estimable,,10.6616205,0.01370367,0.04289514,0.0934344
original_firstorder_Minimum,4,86,26;28;17;15,estimable,,9.78942346,0.02044359,0.05732322,0.08279785
original_firstorder_Range,4,86,26;28;17;15,estimable,,6.78986045,0.07890595,0.15409422,0.04621781
original_firstorder_RobustMeanAbsoluteDeviation,4,86,26;28;17;15,estimable,,9.89193336,0.01950743,0.05510849,0.08404797
original_firstorder_RootMeanSquared,4,86,26;28;17;15,estimable,,11.69563735,0.00850194,0.03234745,0.10604436
original_firstorder_Skewness,4,86,26;28;17;15,estimable,,2.66983156,0.44537847,0.54057752,0.0
original_firstorder_TotalEnergy,4,86,26;28;17;15,estimable,,18.84132913,0.00029485,0.0037582,0.19318694
original_firstorder_Uniformity,4,86,26;28;17;15,estimable,,9.26514871,0.02596561,0.06778205,0.07640425
original_firstorder_Variance,4,86,26;28;17;15,estimable,,10.7625043,0.01308193,0.04149035,0.09466469
original_glcm_Autocorrelation,4,86,26;28;17;15,estimable,,12.70855642,0.00531119,0.02301594,0.11839703
original_glcm_ClusterProminence,4,86,26;28;17;15,estimable,,9.3229893,0.02529097,0.06685648,0.07710963
original_glcm_ClusterShade,4,86,26;28;17;15,estimable,,7.02451498,0.07112049,0.14224098,0.04907945
original_glcm_ClusterTendency,4,86,26;28;17;15,estimable,,10.52622717,0.01458403,0.0450272,0.09178326
original_glcm_Contrast,4,86,26;28;17;15,estimable,,5.20399646,0.15745463,0.24849683,0.02687801
original_glcm_Correlation,4,86,26;28;17;15,estimable,,6.8720109,0.07609106,0.15008224,0.04721965
original_glcm_DifferenceAverage,4,86,26;28;17;15,estimable,,4.7823833,0.18844347,0.28166815,0.02173638
original_glcm_DifferenceEntropy,4,86,26;28;17;15,estimable,,5.40078273,0.14469482,0.23511017,0.02927784
original_glcm_DifferenceVariance,4,86,26;28;17;15,estimable,,5.66130352,0.12930296,0.21794978,0.03245492
original_glcm_Id,4,86,26;28;17;15,estimable,,4.14040978,0.24669613,0.34463607,0.01390744
original_glcm_Idm,4,86,26;28;17;15,estimable,,4.40499578,0.22092261,0.31720781,0.01713409
original_glcm_Idmn,4,86,26;28;17;15,estimable,,1.89765514,0.593918,0.66978776,0.0
original_glcm_Idn,4,86,26;28;17;15,estimable,,1.07335749,0.78350927,0.82821841,0.0
original_glcm_Imc1,4,86,26;28;17;15,estimable,,4.90643789,0.17877783,0.27007881,0.02324924
original_glcm_Imc2,4,86,26;28;17;15,estimable,,6.90599161,0.07495527,0.1483353,0.04763404
original_glcm_InverseVariance,4,86,26;28;17;15,estimable,,2.98869991,0.39337071,0.49389878,0.0
original_glcm_JointAverage,4,86,26;28;17;15,estimable,,11.92556241,0.00764255,0.02975748,0.10884832
original_glcm_JointEnergy,4,86,26;28;17;15,estimable,,8.83146679,0.03161761,0.08028741,0.07111545
original_glcm_JointEntropy,4,86,26;28;17;15,estimable,,8.90033617,0.03064574,0.07852537,0.07195532
original_glcm_MCC,4,86,26;28;17;15,estimable,,6.0949208,0.10708235,0.19365933,0.03774294
original_glcm_MaximumProbability,4,86,26;28;17;15,estimable,,8.38215065,0.03874002,0.09373923,0.06563598
original_glcm_SumAverage,4,86,26;28;17;15,estimable,,11.92556241,0.00764255,0.02975748,0.10884832
original_glcm_SumEntropy,4,86,26;28;17;15,estimable,,9.63271166,0.02196065,0.06023188,0.08088673
original_glcm_SumSquares,4,86,26;28;17;15,estimable,,9.79222848,0.0204174,0.05732322,0.08283205
original_glrlm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,19.25145956,0.00024254,0.00338358,0.19818853
original_glrlm_GrayLevelNonUniformityNormalized,4,86,26;28;17;15,estimable,,10.12352919,0.01754476,0.05149501,0.08687231
original_glrlm_GrayLevelVariance,4,86,26;28;17;15,estimable,,11.74743587,0.00830037,0.03179464,0.10667605
original_glrlm_HighGrayLevelRunEmphasis,4,86,26;28;17;15,estimable,,12.48170974,0.00590267,0.02488812,0.11563061
original_glrlm_LongRunEmphasis,4,86,26;28;17;15,estimable,,1.59732771,0.65999589,0.72548186,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,2.42891623,0.48827457,0.58140175,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,7.61238067,0.05474015,0.11804651,0.05624854
original_glrlm_LowGrayLevelRunEmphasis,4,86,26;28;17;15,estimable,,11.26923331,0.01035565,0.03611693,0.10084431
original_glrlm_RunEntropy,4,86,26;28;17;15,estimable,,6.76017377,0.07994768,0.15576014,0.04585578
original_glrlm_RunLengthNonUniformity,4,86,26;28;17;15,estimable,,22.60818454,4.873e-05,0.00296731,0.2391242
original_glrlm_RunLengthNonUniformityNormalized,4,86,26;28;17;15,estimable,,1.37124199,0.71228939,0.76784395,0.0
original_glrlm_RunPercentage,4,86,26;28;17;15,estimable,,1.30203584,0.7286497,0.78058405,0.0
original_glrlm_RunVariance,4,86,26;28;17;15,estimable,,1.44011904,0.69615813,0.75640258,0.0
original_glrlm_ShortRunEmphasis,4,86,26;28;17;15,estimable,,1.64772989,0.64861645,0.71575839,0.0
original_glrlm_ShortRunHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,10.98488865,0.01180787,0.03935957,0.09737669
original_glrlm_ShortRunLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,11.03299335,0.0115488,0.03861197,0.09796333
original_glszm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,20.95067659,0.00010779,0.00296731,0.21891069
original_glszm_GrayLevelNonUniformityNormalized,4,86,26;28;17;15,estimable,,11.82803775,0.00799606,0.03094366,0.107659
original_glszm_GrayLevelVariance,4,86,26;28;17;15,estimable,,11.3186856,0.01012173,0.03574236,0.10144739
original_glszm_HighGrayLevelZoneEmphasis,4,86,26;28;17;15,estimable,,7.9185798,0.04772473,0.10678999,0.05998268
original_glszm_LargeAreaEmphasis,4,86,26;28;17;15,estimable,,11.30280615,0.01019627,0.03578194,0.10125373
original_glszm_LargeAreaHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,14.78853963,0.00200657,0.0131065,0.14376268
original_glszm_LargeAreaLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,9.3163715,0.02536728,0.06685648,0.07702892
original_glszm_LowGrayLevelZoneEmphasis,4,86,26;28;17;15,estimable,,9.67463886,0.02154427,0.05937811,0.08139803
original_glszm_SizeZoneNonUniformity,4,86,26;28;17;15,estimable,,21.63307572,7.776e-05,0.00296731,0.22723263
original_glszm_SizeZoneNonUniformityNormalized,4,86,26;28;17;15,estimable,,4.43456871,0.21820139,0.31403668,0.01749474
original_glszm_SmallAreaEmphasis,4,86,26;28;17;15,estimable,,6.28828504,0.09839658,0.18210444,0.04010104
original_glszm_SmallAreaHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,8.69918418,0.03356966,0.08334464,0.06950225
original_glszm_SmallAreaLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,11.34624451,0.00999363,0.03540063,0.10178347
original_glszm_ZoneEntropy,4,86,26;28;17;15,estimable,,1.31666643,0.72517932,0.77820763,0.0
