feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
HALLMARK_ADIPOGENESIS,4,86,26;28;17;15,estimable,,31.57059853,6.4e-07,1.92e-05,0.34842193
HALLMARK_ALLOGRAFT_REJECTION,4,86,26;28;17;15,estimable,,28.17351076,3.34e-06,3.53e-05,0.30699403
HALLMARK_ANDROGEN_RESPONSE,4,86,26;28;17;15,estimable,,13.43662088,0.00378152,0.01620651,0.12727586
HALLMARK_ANGIOGENESIS,4,86,26;28;17;15,estimable,,1.64737071,0.64869716,0.69503267,0.0
HALLMARK_APICAL_JUNCTION,4,86,26;28;17;15,estimable,,10.61037871,0.01403053,0.03237815,0.0928095
HALLMARK_APOPTOSIS,4,86,26;28;17;15,estimable,,7.81896755,0.04990508,0.07129297,0.0587679
HALLMARK_BILE_ACID_METABOLISM,4,86,26;28;17;15,estimable,,7.62161659,0.05451458,0.07433806,0.05636118
HALLMARK_COAGULATION,4,86,26;28;17;15,estimable,,26.48563615,7.55e-06,5.663e-05,0.2864102
HALLMARK_COMPLEMENT,4,86,26;28;17;15,estimable,,21.66401938,7.662e-05,0.00045972,0.22760999
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,86,26;28;17;15,estimable,,8.03972952,0.04519771,0.06779657,0.06146012
HALLMARK_ESTROGEN_RESPONSE_EARLY,4,86,26;28;17;15,estimable,,3.67419159,0.29886279,0.3344455,0.00822185
HALLMARK_ESTROGEN_RESPONSE_LATE,4,86,26;28;17;15,estimable,,6.52773465,0.08857511,0.11553275,0.04302115
HALLMARK_FATTY_ACID_METABOLISM,4,86,26;28;17;15,estimable,,10.98647058,0.01179926,0.02949815,0.09739598
HALLMARK_GLYCOLYSIS,4,86,26;28;17;15,estimable,,9.73345856,0.02097316,0.03701146,0.08211535
HALLMARK_HEME_METABOLISM,4,86,26;28;17;15,estimable,,11.12006496,0.01109404,0.02949815,0.09902518
HALLMARK_HYPOXIA,4,86,26;28;17;15,estimable,,6.27070957,0.09915726,0.12394658,0.0398867
HALLMARK_IL2_STAT5_SIGNALING,4,86,26;28;17;15,estimable,,9.47681774,0.02357926,0.03929877,0.07898558
HALLMARK_IL6_JAK_STAT3_SIGNALING,4,86,26;28;17;15,estimable,,28.05656207,3.53e-06,3.53e-05,0.30556783
HALLMARK_INFLAMMATORY_RESPONSE,4,86,26;28;17;15,estimable,,17.64998155,0.00051935,0.00259675,0.17865831
HALLMARK_INTERFERON_GAMMA_RESPONSE,4,86,26;28;17;15,estimable,,12.67153472,0.00540356,0.01801187,0.11794555
HALLMARK_KRAS_SIGNALING_DN,4,86,26;28;17;15,estimable,,9.22703915,0.02641973,0.04171536,0.0759395
HALLMARK_KRAS_SIGNALING_UP,4,86,26;28;17;15,estimable,,13.09933633,0.00442664,0.0165999,0.12316264
HALLMARK_MTORC1_SIGNALING,4,86,26;28;17;15,estimable,,3.65669284,0.30100095,0.3344455,0.00800845
HALLMARK_MYOGENESIS,4,86,26;28;17;15,estimable,,0.56304966,0.9048367,0.9048367,0.0
HALLMARK_P53_PATHWAY,4,86,26;28;17;15,estimable,,10.10670873,0.01768051,0.03536102,0.08666718
HALLMARK_PEROXISOME,4,86,26;28;17;15,estimable,,9.92336891,0.01922889,0.03605417,0.08443133
HALLMARK_TNFA_SIGNALING_VIA_NFKB,4,86,26;28;17;15,estimable,,11.73737527,0.00833915,0.02501745,0.10655336
HALLMARK_UV_RESPONSE_DN,4,86,26;28;17;15,estimable,,1.0377344,0.7921224,0.81943697,0.0
HALLMARK_UV_RESPONSE_UP,4,86,26;28;17;15,estimable,,10.34220591,0.01587041,0.03400802,0.0895391
HALLMARK_XENOBIOTIC_METABOLISM,4,86,26;28;17;15,estimable,,5.00111853,0.17171526,0.20605831,0.02440388
