reference,state_id,state_n,known_n,unknown_n,label_counts,analysis,chi_square,p_value,cramers_v,ari,nmi,missing_n,q_value
mrna_m1_m4,STATE_A,26.0,22,4.0,"{""m1"": 13, ""m2"": 5, ""m4"": 3, ""m3"": 1}",,,,,,,,
mrna_m1_m4,STATE_B,28.0,21,7.0,"{""m2"": 7, ""m3"": 7, ""m4"": 5, ""m1"": 2}",,,,,,,,
mrna_m1_m4,STATE_C,17.0,12,5.0,"{""m1"": 6, ""m2"": 2, ""m3"": 2, ""m4"": 2}",,,,,,,,
mrna_m1_m4,STATE_D,15.0,14,1.0,"{""m1"": 6, ""m2"": 3, ""m3"": 3, ""m4"": 2}",,,,,,,,
mrna_m1_m4,,,69,,,state_label_association,13.965480869892636,0.1203,0.25974235534256174,,,,0.16040000000000001
mrna_m1_m4,,,69,,,label_information,,,,0.05104488578652778,0.08781886689947217,,
mrna_m1_m4,,,69,,,coverage_association,3.41851821848813,0.3465,,,,17.0,0.3465
clearcode34,STATE_A,26.0,20,6.0,"{""ccA"": 19, ""ccB"": 1}",,,,,,,,
clearcode34,STATE_B,28.0,16,12.0,"{""ccB"": 15, ""ccA"": 1}",,,,,,,,
clearcode34,STATE_C,17.0,14,3.0,"{""ccB"": 8, ""ccA"": 6}",,,,,,,,
clearcode34,STATE_D,15.0,13,2.0,"{""ccA"": 8, ""ccB"": 5}",,,,,,,,
clearcode34,,,63,,,state_label_association,29.215217857700107,0.0001,0.6809798945555519,,,,0.0004
clearcode34,,,63,,,label_information,,,,0.2466500707189727,0.2699562156952096,,
clearcode34,,,63,,,coverage_association,5.984115177100197,0.1112,,,,23.0,0.16040000000000001
