modality,state_id,within_minus_between,permutation_p_value,q_value
ct,STATE_A,0.0034036791126269353,0.4496,0.8174545454545455
ct,STATE_B,-0.0038287733464047596,0.393,0.8174545454545455
ct,STATE_C,-0.010653553997787755,0.0908,0.25942857142857145
ct,STATE_D,0.003484869499701941,0.5293,0.8821666666666667
ct,ALL,-0.0013323989373485792,0.7892,0.8896842105263157
wsi,STATE_A,0.011798607041581873,0.0519,0.17300000000000001
wsi,STATE_B,-0.002270128276773937,0.6908,0.8896842105263157
wsi,STATE_C,0.001928086003558864,0.8219,0.8896842105263157
wsi,STATE_D,-0.003047955208744905,0.7284,0.8896842105263157
wsi,ALL,0.0038421283665933843,0.2817,0.70425
rna,STATE_A,0.02382532385144623,0.0082,0.05466666666666667
rna,STATE_B,0.005342148644829507,0.4392,0.8174545454545455
rna,STATE_C,0.0032212569837311716,0.8452,0.8896842105263157
rna,STATE_D,0.0305586352187648,0.0421,0.1684
rna,ALL,0.014187796994834745,0.0012,0.023999999999999997
wxs,STATE_A,0.017771225666313714,0.5898,0.8896842105263157
wxs,STATE_B,0.008825264391784247,0.7748,0.8896842105263157
wxs,STATE_C,0.5390412340690807,0.0215,0.10749999999999998
wxs,STATE_D,-9.174811860777551e-05,1.0,1.0
wxs,ALL,0.07918458743996706,0.0033,0.033
