state_id,core_id,core_n,age_median,stage_counts
STATE_A,CORE01,16,54.0,"{""I"": 13, ""IV"": 2, ""III"": 1}"
STATE_A,CORE07,5,57.0,"{""II"": 2, ""III"": 1, ""IV"": 1, ""I"": 1}"
STATE_A,CORE09,5,59.0,"{""III"": 3, ""I"": 2}"
STATE_B,CORE02,12,58.0,"{""I"": 4, ""IV"": 4, ""III"": 2, ""II"": 2}"
STATE_B,CORE04,11,68.0,"{""IV"": 4, ""III"": 4, ""I"": 2, ""II"": 1}"
STATE_B,CORE10,5,50.0,"{""I"": 2, ""II"": 1, ""IV"": 1, ""III"": 1}"
STATE_C,CORE05,8,61.5,"{""I"": 5, ""III"": 2, ""II"": 1}"
STATE_C,CORE06,7,57.0,"{""I"": 6, ""III"": 1}"
STATE_D,CORE03,12,52.5,"{""I"": 6, ""III"": 4, ""II"": 1, ""IV"": 1}"
STATE_D,CORE08,5,55.0,"{""I"": 5}"
