modality,state_id,core_a,core_b,n_a,n_b,mean_similarity
rna,STATE_A,CORE01,CORE07,16,5,0.08320529173897454
rna,STATE_A,CORE01,CORE09,16,5,0.0939606397114713
rna,STATE_A,CORE07,CORE09,5,5,0.12847849890874538
rna,STATE_B,CORE02,CORE04,12,11,0.05470186792508814
rna,STATE_B,CORE02,CORE10,12,5,0.06511360450981123
rna,STATE_B,CORE04,CORE10,11,5,0.06670012146574306
rna,STATE_C,CORE03,CORE08,12,5,0.10378786594151745
rna,STATE_D,CORE05,CORE06,8,7,0.06869430725254802
wxs,STATE_A,CORE01,CORE07,16,5,0.1349770385873726
wxs,STATE_A,CORE01,CORE09,16,5,0.0909220197097194
wxs,STATE_A,CORE07,CORE09,5,5,0.10324088424905394
wxs,STATE_B,CORE02,CORE04,12,11,0.08698480923898244
wxs,STATE_B,CORE02,CORE10,12,5,0.0478688627700966
wxs,STATE_B,CORE04,CORE10,11,5,0.07461860919770891
wxs,STATE_C,CORE03,CORE08,12,5,0.03739592031029973
wxs,STATE_D,CORE05,CORE06,8,7,2.6123182918827257
