variable,level,core_n,noncore_n,levels,test,chi_square,p_value,core_median,noncore_median,q_value
stage_group,__omnibus__,86,17,I;II;III;IV,monte_carlo_chi2,0.3869091755340491,0.9521,,,1.0
t_stage,__omnibus__,86,17,T1;T1a;T1b;T2;T2a;T2b;T3a;T3b;T4,monte_carlo_chi2,6.600215721351151,0.5761,,,0.6647307692307691
m_stage,__omnibus__,81,17,M0;M1,monte_carlo_chi2,0.10675381263616557,1.0,,,1.0
grade,__omnibus__,86,17,G2;G3;G4,monte_carlo_chi2,2.567329834712626,0.2798,,,0.3988131231043415
gender,__omnibus__,86,17,female;male,monte_carlo_chi2,3.5425413286834546,0.0893,,,0.25765711244282513
race,__omnibus__,86,17,asian;black or african american;white,monte_carlo_chi2,2.684896498849987,0.2593,,,0.3988131231043415
ct_phase,__omnibus__,51,12,ART;CE_UNSPECIFIED;DEL;MAIN_CE_HIGH;MAIN_CE_MEDIUM;NC;NEPH,monte_carlo_chi2,16.29044117647059,0.0083,,,0.1245
ct_manufacturer,__omnibus__,86,17,GE;PHILIPS;SIEMENS,monte_carlo_chi2,3.3440948472412217,0.202,,,0.3988131231043415
ct_scanner_model,__omnibus__,86,17,Definition;Definition AS+;Discovery STE;Emotion 6;Gemini TF 64;LightSpeed Plus;LightSpeed QX/i;LightSpeed Ultra;LightSpeed VCT;LightSpeed16;Philips CT Aura;Precedence 16P;SOMATOM Definition;Sensation 16;Sensation 64;Volume Zoom,monte_carlo_chi2,14.763411501711884,0.4707,,,0.588375
ct_reconstruction_kernel,__omnibus__,86,17,AA0;B;B20f;B30f;B30s;B31f;B41s;LUNG;SOFT;STANDARD,monte_carlo_chi2,17.8048156054312,0.0551,,,0.206625
age,__numeric__,86,17,,mann_whitney_u,,0.05374281253284151,57.0,60.0,0.206625
ct_slice_thickness,__numeric__,86,17,,mann_whitney_u,,0.023649307279841342,5.0,2.5,0.17736980459881008
wsi_patch_count,__numeric__,86,17,,mann_whitney_u,,0.2924629569431838,16327.0,18478.0,0.3988131231043415
wsi_tumor_patch_count,__numeric__,86,17,,mann_whitney_u,,0.268709231457246,6517.5,5792.0,0.3988131231043415
wsi_tumor_patch_fraction,__numeric__,86,17,,mann_whitney_u,,0.10306284497713006,0.3994792413229554,0.28160814156046576,0.25765711244282513
