k,cluster_id,cluster_size,within_cluster_consensus
2,0,60,0.6186453890752353
2,1,43,0.6593361643343744
3,0,27,0.587312629606791
3,1,48,0.5066015900568244
3,2,28,0.6771508944280656
4,0,34,0.5020946291470281
4,1,35,0.519571771722166
4,2,21,0.5759037822613501
4,3,13,0.7160864905166457
5,0,34,0.40597847720404856
5,1,33,0.41335388541031126
5,2,18,0.554439519366844
5,3,14,0.6756042673597141
5,4,4,0.5336637018774281
6,0,21,0.41630763858183234
6,1,16,0.45414520932688623
6,2,20,0.4368120877476144
6,3,14,0.4526187402548514
6,4,18,0.5018232258374763
6,5,14,0.6778557229383594
7,0,15,0.5504834705157841
7,1,16,0.41981887083380903
7,2,17,0.3965159165694866
7,3,17,0.3529952524487807
7,4,21,0.4099938598883264
7,5,13,0.6921752169724099
7,6,4,0.7056668986787457
8,0,13,0.6297483001498895
8,1,16,0.3922769480799486
8,2,15,0.397119985897217
8,3,14,0.3688821962943413
8,4,20,0.3839277899179124
8,5,8,0.4137773784176006
8,6,13,0.6774823031130229
8,7,4,0.7592350039646276
