Name,Term,ES,NES
TCGA-B8-A54E,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27733.50112088221,1.151416714369565
TCGA-B0-5117,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27603.442511092147,1.1460170478612788
TCGA-B8-4619,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27438.544791110682,1.139170959799028
TCGA-B8-5546,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27278.074801668212,1.13250869861558
TCGA-G6-A5PC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27157.890506452826,1.1275189857873094
TCGA-BP-5174,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27119.463775555734,1.1259236163443875
TCGA-BP-4994,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27073.956844306387,1.1240342969601604
TCGA-BP-4962,HALLMARK_OXIDATIVE_PHOSPHORYLATION,27035.265798836615,1.1224279539219646
TCGA-BP-4995,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26923.920961566666,1.11780523044639
TCGA-B0-4712,HALLMARK_MYC_TARGETS_V1,26918.396456795857,1.1175758685961137
TCGA-B0-5707,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26914.453346725353,1.1174121617917694
TCGA-BP-4770,HALLMARK_MYC_TARGETS_V1,26900.688009259484,1.1168406638201265
TCGA-BP-5190,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26889.677470649276,1.1163835373240976
TCGA-BP-5006,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26762.22301370278,1.1110919878940622
TCGA-CZ-5468,HALLMARK_MYC_TARGETS_V1,26736.33752540044,1.1100172954576104
TCGA-B8-5550,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26706.805760038336,1.108791219885884
TCGA-CZ-4863,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26680.512678858453,1.1076996053432109
TCGA-BP-4976,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26680.47755391365,1.1076981470546103
TCGA-CZ-5451,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26676.037790585244,1.1075138206083428
TCGA-BP-4770,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,26667.327411589427,1.107152190249429
TCGA-CJ-6033,HALLMARK_MYC_TARGETS_V1,26634.55348562234,1.1057915093173847
TCGA-CJ-4637,HALLMARK_INTERFERON_ALPHA_RESPONSE,26630.03000068463,1.1056037069861258
TCGA-CJ-6027,HALLMARK_MYC_TARGETS_V1,26623.54861943104,1.1053346183241837
TCGA-B8-4153,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26621.083728867907,1.1052322830228773
TCGA-B0-5703,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26621.05640137492,1.1052311484624753
TCGA-CZ-4865,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26619.697374014715,1.105174725481078
TCGA-CZ-5462,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26617.29662025662,1.10507505295895
TCGA-BP-5180,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26601.192929293193,1.1044064731479295
TCGA-B8-A54D,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26599.279331211892,1.1043270259549556
TCGA-G6-A8L7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26588.155161042552,1.1038651817972114
TCGA-CJ-4636,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26582.305083771178,1.1036223030953392
TCGA-CJ-4641,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26552.064112007596,1.1023667832749027
TCGA-B0-4712,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26542.231269869397,1.1019585514134318
TCGA-CJ-4923,HALLMARK_MYC_TARGETS_V1,26542.093181445307,1.1019528183716907
TCGA-BP-4977,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26538.704050984794,1.1018121112376578
TCGA-CJ-6027,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26535.472942413686,1.1016779647266024
TCGA-B8-5159,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26533.615648408595,1.1016008551200065
TCGA-CJ-4900,HALLMARK_MYC_TARGETS_V1,26528.601262467047,1.1013926719641824
TCGA-CJ-6027,HALLMARK_INTERFERON_ALPHA_RESPONSE,26528.55693835841,1.1013908317522556
TCGA-CJ-6033,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26527.57881654009,1.1013502228942036
TCGA-CZ-5984,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26518.936906083585,1.100991435155853
TCGA-BP-5004,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26507.5915296207,1.100520407136951
TCGA-B0-5085,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26496.25790059273,1.1000498668384007
TCGA-CJ-4916,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26493.563516847255,1.099938003627696
TCGA-CJ-4637,HALLMARK_MYC_TARGETS_V1,26485.994658315096,1.099623765977547
TCGA-B8-5550,HALLMARK_MYC_TARGETS_V1,26482.220939173403,1.0994670918066178
TCGA-BP-5196,HALLMARK_MYC_TARGETS_V1,26475.02625245175,1.0991683887142871
TCGA-BP-5000,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26474.486474059577,1.0991459786384696
TCGA-CJ-4904,HALLMARK_MYC_TARGETS_V1,26474.36896527323,1.0991411000052203
TCGA-BP-5175,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26473.01116860811,1.0990847281188105
TCGA-BP-5192,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26465.891961136425,1.098789158711968
TCGA-B8-5158,HALLMARK_MYC_TARGETS_V1,26463.910518952023,1.0987068948232606
TCGA-BP-5184,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26461.216125247032,1.0985950311990649
TCGA-CJ-4900,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26457.8475926183,1.0984551792288892
TCGA-BP-5181,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26456.48926607543,1.0983987853434503
TCGA-B8-A54G,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26451.751819054858,1.0982020999102209
TCGA-BP-5006,HALLMARK_MYC_TARGETS_V1,26445.47609049486,1.0979415493678524
TCGA-BP-4164,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26439.396079990966,1.0976891244869398
TCGA-CZ-4863,HALLMARK_MYC_TARGETS_V1,26439.21493225291,1.0976816037439778
TCGA-B0-5703,HALLMARK_MYC_TARGETS_V1,26433.772566958178,1.0974556520929855
TCGA-BP-5174,HALLMARK_MYC_TARGETS_V1,26428.90865376402,1.0972537161410627
TCGA-BP-4164,HALLMARK_MYC_TARGETS_V1,26428.127064137065,1.0972212667450658
TCGA-B8-5162,HALLMARK_MYC_TARGETS_V1,26420.95451133078,1.0969234825904486
TCGA-CJ-4641,HALLMARK_MYC_TARGETS_V1,26420.475568000333,1.0969035982147433
TCGA-BP-4782,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26417.976963769048,1.096799863217061
TCGA-B8-4619,HALLMARK_PROTEIN_SECRETION,26410.272690809285,1.09648000354196
TCGA-CJ-4636,HALLMARK_MYC_TARGETS_V1,26410.147555969448,1.0964748082964875
TCGA-B8-A54G,HALLMARK_INTERFERON_ALPHA_RESPONSE,26407.904355958493,1.096381676961391
TCGA-BP-4976,HALLMARK_MYC_TARGETS_V1,26402.733224020118,1.0961669861540493
TCGA-CZ-5468,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26372.27048473213,1.0949022591717332
TCGA-CZ-5988,HALLMARK_MYC_TARGETS_V1,26363.61403729912,1.0945428678991354
TCGA-CZ-5984,HALLMARK_MYC_TARGETS_V1,26360.992838218917,1.0944340431092365
TCGA-BP-5009,HALLMARK_MYC_TARGETS_V1,26360.572133440583,1.0944165766338905
TCGA-B8-A54G,HALLMARK_MYC_TARGETS_V1,26360.398581204052,1.0944093712347205
TCGA-CZ-5985,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26353.195610608087,1.094110324219302
TCGA-BP-5186,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26350.79092903476,1.094010488625368
TCGA-CJ-4903,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26342.255726672607,1.09365613110601
TCGA-B8-5164,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26341.922121766307,1.093642280771592
TCGA-B0-5707,HALLMARK_MYC_TARGETS_V1,26341.20193919586,1.0936123808233167
TCGA-BP-5004,HALLMARK_MYC_TARGETS_V1,26334.742853609263,1.0933442178145591
TCGA-CZ-4865,HALLMARK_MYC_TARGETS_V1,26321.66992648161,1.092801466766471
TCGA-BP-5191,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26319.490206145852,1.092710970928376
TCGA-BP-5009,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26319.10583939833,1.0926950131055386
TCGA-B8-5546,HALLMARK_MYC_TARGETS_V1,26307.691653800262,1.0922211283254943
TCGA-B8-5158,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26302.13331591014,1.0919903618195668
TCGA-CJ-4918,HALLMARK_MYC_TARGETS_V1,26299.636963311452,1.091886720303317
TCGA-B8-4622,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26297.506967674148,1.0917982888943996
TCGA-CJ-6028,HALLMARK_MYC_TARGETS_V1,26286.70665105293,1.0913498902221963
TCGA-CJ-6030,HALLMARK_MYC_TARGETS_V1,26285.502965668264,1.0912999166013142
TCGA-B8-5165,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26283.0043941371,1.0911961829612487
TCGA-B8-5159,HALLMARK_MYC_TARGETS_V1,26280.383530589046,1.091087372101698
TCGA-BP-4972,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26280.203886167492,1.0910799137721954
TCGA-B0-5115,HALLMARK_MYC_TARGETS_V1,26277.757662444663,1.0909783534654287
TCGA-BP-4965,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26274.115064567235,1.090827123079423
TCGA-B8-4619,HALLMARK_MYC_TARGETS_V1,26267.83625744515,1.090566444723843
TCGA-BP-5194,HALLMARK_MYC_TARGETS_V1,26255.95044892661,1.0900729794908603
TCGA-CJ-6030,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26255.659489599664,1.0900608996805692
TCGA-CJ-4916,HALLMARK_MYC_TARGETS_V1,26252.87850299449,1.0899454409634861
TCGA-BP-4167,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26244.33586169724,1.0895907746005324
TCGA-CJ-4904,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26241.515601199615,1.0894736853422493
TCGA-B8-5553,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26236.727705079706,1.0892749054047615
TCGA-G6-A8L7,HALLMARK_MYC_TARGETS_V1,26235.906732327807,1.0892408209325393
TCGA-BP-4965,HALLMARK_MYC_TARGETS_V1,26234.573812767987,1.0891854818733488
TCGA-BP-5195,HALLMARK_MYC_TARGETS_V1,26227.194019443796,1.088879093677173
TCGA-BP-5184,HALLMARK_MYC_TARGETS_V1,26225.83471900105,1.0888226593581591
TCGA-BP-4972,HALLMARK_MYC_TARGETS_V1,26224.47404763321,1.0887661681222036
TCGA-BP-5180,HALLMARK_MYC_TARGETS_V1,26222.075356570174,1.0886665812373544
TCGA-BP-5007,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26216.928036018187,1.08845287901159
TCGA-BP-5200,HALLMARK_MYC_TARGETS_V1,26214.0993765613,1.0883354410522164
TCGA-BP-4960,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26210.17852782205,1.0881726584755336
TCGA-BP-5189,HALLMARK_MYC_TARGETS_V1,26204.265918896508,1.0879271836358182
TCGA-B8-5164,HALLMARK_MYC_TARGETS_V1,26203.414309512962,1.0878918272170937
TCGA-BP-5192,HALLMARK_MYC_TARGETS_V1,26200.36751737069,1.0877653330041008
TCGA-CZ-5462,HALLMARK_INTERFERON_ALPHA_RESPONSE,26198.58658895034,1.087691393881112
TCGA-BP-5187,HALLMARK_MYC_TARGETS_V1,26192.649224370543,1.0874448912564816
TCGA-B0-5706,HALLMARK_MYC_TARGETS_V1,26192.042315867817,1.0874196941278866
TCGA-B0-5115,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26191.195981379333,1.0873845567079214
TCGA-BP-5010,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26186.488331254095,1.0871891083577123
TCGA-BP-4994,HALLMARK_PROTEIN_SECRETION,26184.633588522964,1.0871121046728125
TCGA-CJ-4923,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26183.10862795432,1.0870487926127939
TCGA-B0-5117,HALLMARK_MYC_TARGETS_V1,26181.65291557175,1.086988355542072
TCGA-BP-5194,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26181.368825175115,1.0869765609103863
TCGA-CJ-4904,HALLMARK_TGF_BETA_SIGNALING,26178.863907206,1.0868725637841241
TCGA-CJ-4903,HALLMARK_MYC_TARGETS_V1,26169.57541332265,1.0864869317262749
TCGA-BP-5190,HALLMARK_MYC_TARGETS_V1,26168.74663365272,1.086452523132844
TCGA-CJ-4902,HALLMARK_MYC_TARGETS_V1,26167.82096391444,1.0864140919371577
TCGA-B8-5165,HALLMARK_MYC_TARGETS_V1,26167.171193067294,1.0863871152849616
TCGA-CJ-4908,HALLMARK_MYC_TARGETS_V1,26166.53101797253,1.0863605370213296
TCGA-CJ-4643,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26160.881815234716,1.086125998063308
TCGA-BP-5186,HALLMARK_MYC_TARGETS_V1,26154.387963073394,1.0858563916444646
TCGA-CJ-4643,HALLMARK_TGF_BETA_SIGNALING,26153.861498986502,1.085834534341035
TCGA-BP-4995,HALLMARK_MYC_TARGETS_V1,26151.748915279328,1.0857468258263276
