case_id,columns,error,exists,file_path,invalid_segment_mean_count,required_columns_present,segment_count,segment_mean_max,segment_mean_median,segment_mean_min
TCGA-B0-4698,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/d75135e3-051f-44a6-a4a8-f3098a599dd2/MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B01_734912.nocnv_grch38.seg.v2.txt,0,True,268,1.6332,0.011,-1.9806
TCGA-B0-4712,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/69ad7526-a8b1-42bf-8885-d1e98b5162aa/MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_A06_734818.nocnv_grch38.seg.v2.txt,0,True,97,1.8815,-0.1807,-3.2386
TCGA-B0-4821,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/14e77a79-775e-4546-8e40-2e1e9a8aad47/MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B06_734846.nocnv_grch38.seg.v2.txt,0,True,103,2.2437,-0.1035,-4.9777
TCGA-B0-5077,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/2153890e-315c-4039-92f8-ab53f1c1a323/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A08_697826.nocnv_grch38.seg.v2.txt,0,True,95,1.7595,-0.0376,-3.1302
TCGA-B0-5081,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/4afc6469-cf79-42c7-ae76-a46d0022d7c2/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_C02_697972.nocnv_grch38.seg.v2.txt,0,True,227,2.0954,-0.0135,-3.9448
TCGA-B0-5085,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/0b8fcf3b-db90-4738-b4ff-2c1d5750e8f7/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A10_697914.nocnv_grch38.seg.v2.txt,0,True,84,2.0459,-0.00125,-2.907
TCGA-B0-5088,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/1248ef5f-d3fc-4362-849c-49422df1d177/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A04_697902.nocnv_grch38.seg.v2.txt,0,True,81,1.3813,-0.0039,-3.8237
TCGA-B0-5099,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/1a681261-af04-41da-b738-361ecdbba31b/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B09_730574.nocnv_grch38.seg.v2.txt,0,True,165,1.4154,0.0368,-5.6621
TCGA-B0-5106,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/649e1e0e-b4ce-491c-94c3-64273680159b/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_H05_730648.nocnv_grch38.seg.v2.txt,0,True,85,0.8954,-0.0266,-3.4152
TCGA-B0-5110,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/f62f29af-3502-47aa-b05d-3062bec4a90a/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B10_730640.nocnv_grch38.seg.v2.txt,0,True,58,0.5529,0.021199999999999997,-3.1915
