case_id,clipped_voxel_fraction,ct_path,error,mask_path,status
TCGA-B0-4712,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-4712/TCGA-B0-4712_mask.nii.gz,failure
TCGA-B0-4821,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-4821/TCGA-B0-4821_mask.nii.gz,failure
TCGA-B0-5077,,.,ct_or_mask_missing,output_kirc/ct_tumor_seg/TCGA-B0-5077/TCGA-B0-5077_mask.nii.gz,failure
TCGA-B0-5081,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5081/TCGA-B0-5081_mask.nii.gz,failure
TCGA-B0-5085,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5085/TCGA-B0-5085_mask.nii.gz,failure
TCGA-B0-5088,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5088/TCGA-B0-5088_mask.nii.gz,failure
TCGA-B0-5106,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5106/TCGA-B0-5106_mask.nii.gz,failure
TCGA-B0-5115,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5115/TCGA-B0-5115_mask.nii.gz,failure
TCGA-B0-5117,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5117/TCGA-B0-5117_mask.nii.gz,failure
TCGA-B0-5121,,.,ct_or_mask_missing,output_kirc/ct_tumor_seg/TCGA-B0-5121/TCGA-B0-5121_mask.nii.gz,failure
TCGA-B0-5696,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5696/TCGA-B0-5696_mask.nii.gz,failure
TCGA-B0-5697,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5697/TCGA-B0-5697_mask.nii.gz,failure
TCGA-B0-5698,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5698/TCGA-B0-5698_mask.nii.gz,failure
TCGA-B0-5702,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5702/TCGA-B0-5702_mask.nii.gz,failure
TCGA-B0-5703,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5703/TCGA-B0-5703_mask.nii.gz,failure
TCGA-B0-5706,,.,ct_or_mask_missing,/data/qijun/path-ct/output_kirc/ct_tumor_seg/TCGA-B0-5706/TCGA-B0-5706_mask.nii.gz,failure
