chi2,clusters,cramers_v,degrees_of_freedom,field,levels,missing_count,n,p_value,partition,q_value,table
17.021088015245624,"['0', '1']",0.4085014221690945,6,phase_group,"['ART', 'CE_UNSPECIFIED', 'DEL', 'MAIN_CE_MEDIUM', 'NC', 'NEPH', 'UNKNOWN']",0,102,0.009206054422861277,consensus_labels_k2,0.016110595240007235,"[[2, 1, 7, 0, 4, 1, 31], [9, 4, 17, 1, 8, 0, 17]]"
2.6421622848067163,"['0', '1']",0.16094580395844607,2,manufacturer,"['GE', 'Philips', 'Siemens']",0,102,0.2668466467302854,consensus_labels_k2,0.2873733118633843,"[[33, 2, 11], [40, 0, 16]]"
,[],,,scanner_model,[],102,0,,consensus_labels_k2,,[]
17.51498949650203,"['0', '1']",0.414385790416418,8,reconstruction_kernel,"['B', 'B20f', 'B30f', 'B31f', 'B41s', 'B70f', 'LUNG', 'SOFT', 'STANDARD']",0,102,0.02517160328353484,consensus_labels_k2,0.03915582732994308,"[[2, 1, 4, 3, 1, 2, 8, 2, 23], [0, 0, 7, 9, 0, 0, 1, 3, 36]]"
6.497388481084133,"['0', '1']",0.25238836555881944,4,slice_thickness,"['0.625', '1.25', '2.5', '3.0', '5.0']",0,102,0.16495500448987035,consensus_labels_k2,0.19244750523818208,"[[2, 1, 22, 3, 18], [0, 1, 29, 0, 26]]"
21.940031897926634,"['0', '1', '2']",0.3279469102922432,12,phase_group,"['ART', 'CE_UNSPECIFIED', 'DEL', 'MAIN_CE_MEDIUM', 'NC', 'NEPH', 'UNKNOWN']",0,102,0.038197434940532474,consensus_labels_k3,0.056290956754468914,"[[1, 0, 4, 0, 4, 1, 20], [5, 3, 14, 0, 2, 0, 10], [5, 2, 6, 1, 6, 0, 18]]"
3.798125450612833,"['0', '1', '2']",0.13644875233144496,4,manufacturer,"['GE', 'Philips', 'Siemens']",0,102,0.4340154099460397,consensus_labels_k3,0.4340154099460397,"[[21, 0, 9], [26, 0, 8], [26, 2, 10]]"
,[],,,scanner_model,[],102,0,,consensus_labels_k3,,[]
16.65924075726038,"['0', '1', '2']",0.28576729149525015,16,reconstruction_kernel,"['B', 'B20f', 'B30f', 'B31f', 'B41s', 'B70f', 'LUNG', 'SOFT', 'STANDARD']",0,102,0.4079716701949508,consensus_labels_k3,0.423081732054023,"[[0, 1, 4, 2, 1, 1, 5, 2, 14], [0, 0, 2, 6, 0, 0, 2, 2, 22], [2, 0, 5, 4, 0, 1, 2, 1, 23]]"
11.452837977296182,"['0', '1', '2']",0.23694168614620098,8,slice_thickness,"['0.625', '1.25', '2.5', '3.0', '5.0']",0,102,0.17733668596043353,consensus_labels_k3,0.19861708827568555,"[[2, 0, 12, 1, 15], [0, 0, 19, 0, 15], [0, 2, 20, 2, 14]]"
26.02460357267254,"['0', '1', '2', '3']",0.2916294294026258,18,phase_group,"['ART', 'CE_UNSPECIFIED', 'DEL', 'MAIN_CE_MEDIUM', 'NC', 'NEPH', 'UNKNOWN']",0,102,0.09919668733044346,consensus_labels_k4,0.12534374220523925,"[[2, 1, 5, 0, 2, 0, 11], [2, 3, 11, 0, 1, 0, 8], [1, 0, 4, 0, 4, 0, 18], [6, 1, 4, 1, 5, 1, 11]]"
15.488196806624348,"['0', '1', '2', '3']",0.27554043871237055,6,manufacturer,"['GE', 'Philips', 'Siemens']",0,102,0.016781243017871136,consensus_labels_k4,0.027639694382375988,"[[18, 1, 2], [22, 0, 3], [19, 0, 8], [14, 1, 14]]"
,[],,,scanner_model,[],102,0,,consensus_labels_k4,,[]
33.0529609030852,"['0', '1', '2', '3']",0.3286581995045698,24,reconstruction_kernel,"['B', 'B20f', 'B30f', 'B31f', 'B41s', 'B70f', 'LUNG', 'SOFT', 'STANDARD']",0,102,0.10296093109716081,consensus_labels_k4,0.12534374220523925,"[[1, 0, 1, 0, 0, 1, 3, 0, 15], [0, 0, 1, 2, 0, 0, 2, 2, 18], [0, 1, 3, 2, 1, 1, 4, 2, 13], [1, 0, 6, 8, 0, 0, 0, 1, 13]]"
20.674777329949745,"['0', '1', '2', '3']",0.25993197532666384,12,slice_thickness,"['0.625', '1.25', '2.5', '3.0', '5.0']",0,102,0.05535051496350848,consensus_labels_k4,0.07749072094891188,"[[0, 1, 16, 1, 3], [0, 0, 15, 0, 10], [2, 0, 10, 1, 14], [0, 1, 10, 1, 17]]"
45.45806328838625,"['0', '1', '2', '3', '4']",0.333791584353561,24,phase_group,"['ART', 'CE_UNSPECIFIED', 'DEL', 'MAIN_CE_MEDIUM', 'NC', 'NEPH', 'UNKNOWN']",0,102,0.005139777085647035,consensus_labels_k5,0.011070289107547461,"[[1, 1, 4, 0, 0, 0, 11], [1, 1, 10, 0, 1, 0, 6], [2, 0, 5, 0, 6, 1, 6], [6, 3, 1, 1, 2, 0, 9], [1, 0, 4, 0, 3, 0, 16]]"
20.514778523033755,"['0', '1', '2', '3', '4']",0.3171161298622209,8,manufacturer,"['GE', 'Philips', 'Siemens']",0,102,0.00855440235570187,consensus_labels_k5,0.01596821773064349,"[[15, 1, 1], [18, 0, 1], [13, 1, 6], [10, 0, 12], [17, 0, 7]]"
,[],,,scanner_model,[],102,0,,consensus_labels_k5,,[]
45.2380001499055,"['0', '1', '2', '3', '4']",0.33298265922988785,32,reconstruction_kernel,"['B', 'B20f', 'B30f', 'B31f', 'B41s', 'B70f', 'LUNG', 'SOFT', 'STANDARD']",0,102,0.060516626475145954,consensus_labels_k5,0.0806888353001946,"[[1, 0, 0, 0, 0, 1, 4, 0, 11], [0, 0, 0, 1, 0, 0, 2, 1, 15], [1, 0, 2, 4, 0, 0, 0, 1, 12], [0, 0, 7, 5, 0, 0, 0, 1, 9], [0, 1, 2, 2, 1, 1, 3, 2, 12]]"
35.313620158807325,"['0', '1', '2', '3', '4']",0.29419889630199514,16,slice_thickness,"['0.625', '1.25', '2.5', '3.0', '5.0']",0,102,0.0035995426672192393,consensus_labels_k5,0.008398932890178226,"[[0, 1, 13, 1, 2], [0, 0, 13, 0, 6], [0, 0, 12, 2, 6], [0, 1, 5, 0, 16], [2, 0, 8, 0, 14]]"
