cluster,count,field,level,partition
0,2,phase_group,ART,consensus_labels_k2
0,7,phase_group,DEL,consensus_labels_k2
0,4,phase_group,NC,consensus_labels_k2
0,1,phase_group,NEPH,consensus_labels_k2
0,1,phase_group,OTHER_CE,consensus_labels_k2
0,31,phase_group,UNKNOWN,consensus_labels_k2
1,9,phase_group,ART,consensus_labels_k2
1,17,phase_group,DEL,consensus_labels_k2
1,8,phase_group,NC,consensus_labels_k2
1,0,phase_group,NEPH,consensus_labels_k2
1,5,phase_group,OTHER_CE,consensus_labels_k2
1,17,phase_group,UNKNOWN,consensus_labels_k2
0,1,phase_group,ART,consensus_labels_k3
0,4,phase_group,DEL,consensus_labels_k3
0,4,phase_group,NC,consensus_labels_k3
0,1,phase_group,NEPH,consensus_labels_k3
0,0,phase_group,OTHER_CE,consensus_labels_k3
0,20,phase_group,UNKNOWN,consensus_labels_k3
1,5,phase_group,ART,consensus_labels_k3
1,14,phase_group,DEL,consensus_labels_k3
1,2,phase_group,NC,consensus_labels_k3
1,0,phase_group,NEPH,consensus_labels_k3
1,3,phase_group,OTHER_CE,consensus_labels_k3
1,10,phase_group,UNKNOWN,consensus_labels_k3
2,5,phase_group,ART,consensus_labels_k3
2,6,phase_group,DEL,consensus_labels_k3
2,6,phase_group,NC,consensus_labels_k3
2,0,phase_group,NEPH,consensus_labels_k3
2,3,phase_group,OTHER_CE,consensus_labels_k3
2,18,phase_group,UNKNOWN,consensus_labels_k3
0,2,phase_group,ART,consensus_labels_k4
0,5,phase_group,DEL,consensus_labels_k4
0,2,phase_group,NC,consensus_labels_k4
0,0,phase_group,NEPH,consensus_labels_k4
0,1,phase_group,OTHER_CE,consensus_labels_k4
0,11,phase_group,UNKNOWN,consensus_labels_k4
1,2,phase_group,ART,consensus_labels_k4
1,11,phase_group,DEL,consensus_labels_k4
1,1,phase_group,NC,consensus_labels_k4
1,0,phase_group,NEPH,consensus_labels_k4
1,3,phase_group,OTHER_CE,consensus_labels_k4
1,8,phase_group,UNKNOWN,consensus_labels_k4
2,1,phase_group,ART,consensus_labels_k4
2,4,phase_group,DEL,consensus_labels_k4
2,4,phase_group,NC,consensus_labels_k4
2,0,phase_group,NEPH,consensus_labels_k4
2,0,phase_group,OTHER_CE,consensus_labels_k4
2,18,phase_group,UNKNOWN,consensus_labels_k4
3,6,phase_group,ART,consensus_labels_k4
3,4,phase_group,DEL,consensus_labels_k4
3,5,phase_group,NC,consensus_labels_k4
3,1,phase_group,NEPH,consensus_labels_k4
3,2,phase_group,OTHER_CE,consensus_labels_k4
3,11,phase_group,UNKNOWN,consensus_labels_k4
0,1,phase_group,ART,consensus_labels_k5
0,4,phase_group,DEL,consensus_labels_k5
0,0,phase_group,NC,consensus_labels_k5
0,0,phase_group,NEPH,consensus_labels_k5
0,1,phase_group,OTHER_CE,consensus_labels_k5
0,11,phase_group,UNKNOWN,consensus_labels_k5
1,1,phase_group,ART,consensus_labels_k5
1,10,phase_group,DEL,consensus_labels_k5
1,1,phase_group,NC,consensus_labels_k5
