run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete_all_accepted,supporting,3,2,103,5,27948
run1_K4,4,1,True,unresolved,review_complete_with_unresolved_sets,mixed,10,3,73,17,87465
run1_K5,5,1,True,unresolved,review_complete_with_unresolved_sets,conflicting,19,4,82,38,198007
run1_K6,6,1,True,unresolved,review_complete_with_unresolved_sets,conflicting,18,4,65,37,209028
run1_K7,7,1,True,unresolved,review_complete_with_unresolved_sets,conflicting,20,3,53,37,253259
run1_K8,8,1,True,unresolved,review_complete_with_unresolved_sets,conflicting,24,2,29,47,330449
run2_K2,2,2,True,complete,review_complete_all_accepted,supporting,3,2,103,5,27940
run2_K4,4,2,True,unresolved,review_complete_with_unresolved_sets,mixed,10,3,73,17,87542
run2_K5,5,2,True,unresolved,review_complete_with_unresolved_sets,conflicting,19,4,82,40,201226
run2_K6,6,2,True,unresolved,review_complete_with_unresolved_sets,conflicting,18,4,65,35,203878
run2_K7,7,2,True,unresolved,review_complete_with_unresolved_sets,conflicting,20,3,53,39,261345
run2_K8,8,2,True,unresolved,review_complete_with_unresolved_sets,conflicting,24,2,29,47,333742
run3_K2,2,3,True,complete,review_complete_all_accepted,supporting,3,2,103,5,27948
run3_K4,4,3,True,unresolved,review_complete_with_unresolved_sets,mixed,10,3,73,18,89705
run3_K5,5,3,True,unresolved,review_complete_with_unresolved_sets,conflicting,19,4,82,39,197939
run3_K6,6,3,True,unresolved,review_complete_with_unresolved_sets,conflicting,18,4,65,34,201424
run3_K7,7,3,True,unresolved,review_complete_with_unresolved_sets,conflicting,20,3,53,36,253619
run3_K8,8,3,True,unresolved,review_complete_with_unresolved_sets,conflicting,24,2,29,47,330908
